Keyword,Python Equivalent,JavaScript Equivalent
if,if,if
else,else,else
while,while,while
for,for,for
def,def,function
class,class,class
return,return,return
print,print,console.log
len,len,.length
range,range,Array.from
str,str,String
int,int,parseInt
list,list,Array
dict,dict,Object
set,set,Set
try,try,try
except,except,catch
finally,finally,finally
import,import,import
from,from,from
as,as,as
global,global,global
lambda,lambda,() => {}
yield,yield,yield
async,async,async
await,await,await
with,with,with
pass,pass,pass
continue,continue,continue
break,break,break
and,and,&&
or,or,||
not,not,!
in,in,in
is,is,===
del,del,delete
True,True,true
False,False,false
None,None,null
self,self,this
try,try,try
finally,finally,finally